family,metric,n_runs,mean_raw,mean_gated,mean_diff,per_run_diffs,n_gated_better,paired_t_p,wilcoxon_p
F1_L2,ate_rmse,3,3.088029046499748,3.02310714827369,-0.0649218982260581,"[0.27985674675824823, -0.14383418115709512, -0.3307882602793275]",2,0.7536952296023978,0.75
F1_L2,rpe_t_norm,3,0.9316350326912424,0.9015181986198212,-0.0301168340714211,"[0.020150373664329257, -0.04734080456941259, -0.06316007130918011]",2,0.3596694953771951,0.5
F1_L2,valid_pose_pct,3,81.27861096192639,80.65677030253994,-0.6218406593864501,"[-2.028985507246375, -0.7267441860465027, 0.8902077151335277]",1,0.5381044920347905,0.75
F2_L2,ate_rmse,3,0.9683145681457715,1.026366718254516,0.0580521501087444,"[0.016767815808117037, 0.1068256696959149, 0.05056296482220146]",0,0.1576760031964338,0.25
F2_L2,rpe_t_norm,3,1.4605044783504784,1.8616522273714076,0.4011477490209292,"[0.5228299160677186, 0.7726827412874426, -0.09206941029237337]",1,0.2588544120169448,0.5
F2_L2,valid_pose_pct,3,96.64407472778024,97.13521478688024,0.4911400590999951,"[0.2915451895043759, 1.506024096385545, -0.3241491085899355]",2,0.4574257723363746,0.75
F4_L2,ate_rmse,3,2.7376579248856703,2.765444131343252,0.0277862064575817,"[-0.14925249354233783, 0.17175953703209634, 0.06085157588298662]",1,0.79567595915239,0.75
F4_L2,rpe_t_norm,3,1.1842156027582955,1.205418958089365,0.0212033553310696,"[-0.0273824867102217, 0.07197012375164857, 0.01902242895178219]",1,0.5369869590824898,0.75
F4_L2,valid_pose_pct,3,91.17626560509224,91.82659642621802,0.6503308211257869,"[1.1611030478955229, 0.7898894154818379, 0.0]",2,0.1978934071646138,0.5
F5_L2,ate_rmse,3,2.8182569945677343,2.904600207761125,0.0863432131933912,"[-0.08393069802370157, 0.13384288350038398, 0.20911745410349125]",1,0.429379765235882,0.5
F5_L2,rpe_t_norm,3,1.0671105093547033,1.07992238923702,0.0128118798823166,"[-0.017481753220131235, 0.02092831250218441, 0.034989080364896674]",1,0.499760011761067,0.5
F5_L2,valid_pose_pct,3,90.53929659725748,90.02667141982784,-0.5126251774296454,"[0.0, -1.11888111888112, -0.41899441340781607]",0,0.2568441286768845,0.5
F6_L2,ate_rmse,3,0.4962148783923012,0.4918164130750091,-0.0043984653172921,"[0.017575787651939234, -0.017320324981769497, -0.013450858622046091]",2,0.7289211369699061,1.0
F6_L2,rpe_t_norm,3,1.1430369001664962,1.1713693862657857,0.0283324860992895,"[0.057073872377761514, 0.015126101716396168, 0.012797484203711074]",0,0.1877330318978173,0.25
F6_L2,valid_pose_pct,3,91.22847576015668,92.34001838889256,1.1115426287358616,"[1.6320474777448197, 1.3846153846153584, 0.31796502384740677]",3,0.1102285965685257,0.25
F9_L2,ate_rmse,3,3.320597224446013,3.023451451704707,-0.2971457727413059,"[-0.39479341803416546, -0.927290554031666, 0.4306466538419138]",2,0.530403312553609,0.75
F9_L2,rpe_t_norm,3,0.9052875856003392,0.8979957872367713,-0.0072917983635679,"[-0.021759267942930594, -0.023904009478632582, 0.023787882330859378]",2,0.6853093768254822,0.75
F9_L2,valid_pose_pct,3,93.04178244082208,92.14373358339576,-0.8980488574263271,"[-1.2912482065997182, -1.5449438202247165, 0.14204545454545325]",1,0.2293957286663037,0.5
F10_L3,ate_rmse,3,2.151711642262212,2.533496737564301,0.381785095302089,"[0.288372505672267, 0.14676433194286043, 0.7102184482911396]",0,0.1527097863097182,0.25
F10_L3,rpe_t_norm,3,1.0568169926328446,1.1091620765471684,0.0523450839143239,"[-0.0267504156009577, 0.04208613414963924, 0.1416995331942903]",1,0.3964500364271042,0.5
F10_L3,valid_pose_pct,3,94.19207392385174,93.46571727352074,-0.7263566503309846,"[-0.8547008547008517, -0.8670520231213885, -0.4573170731707137]",0,0.0326507129733668,0.25
F11_L2,ate_rmse,3,3.330469374374507,3.5221203600191564,0.1916509856446491,"[0.36245699283026633, -0.1067018518234617, 0.3191978159271427]",1,0.3288784221949454,0.5
F11_L2,rpe_t_norm,3,1.0094162056480591,0.9702061771800556,-0.0392100284680034,"[-0.07826030522978011, -0.03791058480559106, -0.0014591953686391435]",3,0.2191249712282584,0.25
F11_L2,valid_pose_pct,3,96.99884918548707,96.17394823321968,-0.8249009522673892,"[-0.3257328990227819, -1.4975041597337793, -0.6514657980456064]",0,0.1420039663770377,0.25
